Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
201.jpg,resultado_201.jpg,LEM,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,ME,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,NOTES: UNLESS OTHERWISE SPECIFIED,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,REFER TO SHEET 2/7 FOR P&ID SYMEOLS LEGEND.,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,V310,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,V315,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,V313,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,XINDICATES EQUIPMENT NOL SUPPLIED BY CUILD OR GE,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,INLETZOUTLET,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,FILTERS,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,DESICCANT,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,VESSEL,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,PIPE RUN #S USED: SEE SHT 1/7 NOTE,Não cadastrado,Não cadastrado,Desconhecido
216.jpg,resultado_216.jpg,CAPACITY:,Não cadastrado,Não cadastrado,Desconhecido
